col1,col2
Sri Padma Rao. T,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kumbam_anil_kumar_reddy.jpg
Sri Narayanan Sri Ganesh,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kunamneni_sambasiva_rao.jpg
Sri Yennam Srinivas Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kunduru_jayaveer.jpg
Sri Anirudh Reddy Janampalli,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_laxmi_kantha_rao_thota.jpg
Sri Gavinolla Madhusudan Reddy (Gmr),https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_madan_mohan_raok.jpg
Dr. Kuch Kulla Rajesh Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_madhavaram_krishna_rao.jpg
Sri Chikkudu Vamshi Krishna,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_madula_samel.jpg
Sri Jupally Krishna Rao,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_malreddy_ranga_reddy.jpg
Sri Megha Reddy Tudi,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_marri_rajashekar_reddy.jpg
Sri Bandla Krishna Mohan Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_medipally_sathyam.jpg
Sri Vijayudu,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_megha_reddy_tudi.jpg
Sri Balu Naik Nenavath,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_mir_zulfeqar_ali.jpg
Sri Kunduru Jayaveer,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_mohammed_majid_hussain.jpg
Sri Bathula Laxma Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_mohammed_mubeen.jpg
Sri Komati Reddy Venkat Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_mukkan_singh_raj_thakur.jpg
Sri Komatireddy Raj Gopal Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_muta_gopal.jpg
Sri Vemula Veeresham,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_mynampally_rohith.jpg
Sri Uttam Kumar Reddy Nalamada,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_naini_rajender_reddy.jpg
Smt. Nalamada Padmavathi Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_nalamada_padmavathi_reddy.jpg
Sri Guntakandla Jagadish Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_p_sudarshan_reddy.jpg
Sri Mandula Samel,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_padmaraot.jpg
Sri Kumbam Anil Kumar Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_paidi_rakesh_reddy.jpg
Sri Ilaiah Beerla,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_palla_rajeshwar_reddy.jpg
Sri Palla Rajeshwar Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_patlolla_sanjeeva_reddy.jpg
Sri Kadiyam Srihari,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_payal_shanker.jpg
Smt. Yashaswini Mamidala,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_payam_venkateshwarlu.jpg
Sri Jatoth Ram Chander Naik,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_ponguleti_srinivasa_reddy.jpg
