col1,matched_col2
Sri Malreddy Ranga Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_malreddy_ranga_reddy.jpg
Sri Devireddy Sudhir Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_devireddy_sudhi_reddy.jpg
Smt. Patlolla Sabttha Indra Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/smtpatlolla_sabitha_indra_reddy.jpg
Sri T. Prakash Goud,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_tprakash_goud.jpg
Sri Arekapudi Gandhi,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_arekapudi_gandhi.jpg
Sri Kale Yadaiah,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kale_yadaiah.jpg
Sri Kasireddy Narayan Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kasireddy_narayan_reddy.jpg
Sri K Shankaraiah,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kshankaraiah.jpg
Dr. T. Ram Mohan Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_drtram_mohan_reddy.jpg
Sri Gaddam Prasad Kumar,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_gaddam_prasad_kumar.jpg
Sri B. Manohar Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_bmanohar_reddy.jpg
Sri Chamakura Malla Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_chamakura_mall_reddy.jpg
Sri Marri Rajashekar Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_marri_rajashekar_reddy.jpg
Sri K.P. Vivekanand,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kp_vivekanand.jpg
Sri Madhavaram Krishna Rao,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_madhavaram_krishna_rao.jpg
Sri Bandari Lakshma Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_bandari_lakshma_reddy.jpg
Sri Muta Gopal,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_muta_gopal.jpg
Sri Ahmed Bin Abdullah Balala,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_ahmed_bin_abdullah_balala.jpg
Sri Kaleru Venkatesh,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kaleru_venkatesh.jpg
Sri Danam Nagender,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_danam_nagender.jpg
Sri Maganti Gopinath,
Sri Talasani Srinivas Yadav,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_talasani_srinivas_yadav.jpg
Sri Mohammed Majid Hussain,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_mohammed_majid_hussain.jpg
Sri Kausar Mohiuddin,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kausar_mohinuddin.jpg
Sri T. Raja Singh,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_trajasingh.jpg
Sri Mir Zulfeqar Ali,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_mir_zulfeqar_ali.jpg
Sri Akbar Uddin Owaisi,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_akbar_uddin_owaisi.jpg
Sri Jaffar Hussain,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_jaffar_hussain.jpg
Sri Mohammed Mubeen,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_mohammed_mubeen.jpg
Sri Padma Rao. T,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_padmaraot.jpg
Sri Narayanan Sri Ganesh,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_sriganesh.jpg
Sri Yennam Srinivas Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_yennam_srinivas_reddy.jpg
Sri Anirudh Reddy Janampalli,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_anirudh_reddy_janampalli.jpg
Sri Gavinolla Madhusudan Reddy (Gmr),https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_gavinolla_madhusudan_reddy_(gmr).jpg
Dr. Kuch Kulla Rajesh Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_dr_kuchkulla_rajesh_reddy.jpg
Sri Chikkudu Vamshi Krishna,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_chikkudu_vamshi_krishna.jpg
Sri Jupally Krishna Rao,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_jupally_krishna_rao.jpg
Sri Megha Reddy Tudi,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_megha_reddy_tudi.jpg
Sri Bandla Krishna Mohan Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_bandla_krishna_mohan_reddy.jpg
Sri Vijayudu,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_vijayudu.jpg
Sri Balu Naik Nenavath,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_balu_naik_nenavath.jpg
Sri Kunduru Jayaveer,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kunduru_jayaveer.jpg
Sri Bathula Laxma Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_bathula_laxma_reddy.jpg
Sri Komati Reddy Venkat Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_komati_reddy_venkat_reddy.jpg
Sri Komatireddy Raj Gopal Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_komatireddy_raj_gopal_reddy.jpg
Sri Vemula Veeresham,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_vemula_veeresham.jpg
Sri Uttam Kumar Reddy Nalamada,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_uttam_kumar_reddy_nalamada.jpg
Smt. Nalamada Padmavathi Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_nalamada_padmavathi_reddy.jpg
Sri Guntakandla Jagadish Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_guntakandla_jagadish_reddy.jpg
Sri Mandula Samel,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_madula_samel.jpg
Sri Kumbam Anil Kumar Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kumbam_anil_kumar_reddy.jpg
Sri Ilaiah Beerla,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_ilaiah_beerla.jpg
Sri Palla Rajeshwar Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_palla_rajeshwar_reddy.jpg
Sri Kadiyam Srihari,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kadiyam_srihari.jpg
Smt. Yashaswini Mamidala,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/smt_yashaswini_mamidala.jpg
Sri Jatoth Ram Chander Naik,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_jatoth_ram_chander_naik.jpg
Dr. Murali Naik Bhukya,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_dr_murali_naik_bhukya.jpg
Sri Donthi Madhava Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_donthi_madhava_reddy.jpg
Smt. Konda Surekha,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/smt_konda_surekha.jpg
Sri K.R. Nagaraj. K,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_krnagarajk.jpg
Sri Revuri Prakash Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_revuri_prakash_reddy.jpg
Sri Naini Rajender Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_naini_rajender_reddy.jpg
Sri Gandra Satyanarayana Rao,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_gandra_satyanarayana_rao.jpg
Sri Payam Venkateswarulu,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_payam_venkateshwarlu.jpg
Sri Koram Kanakaiah,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_koram_kanakaiah.jpg
Sri Kunamneni Sambasiva Rao,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_kunamneni_sambasiva_rao.jpg
Sri Adinarayana Jare,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_adinarayana_jare.jpg
Dr. Tellam Venkata Rao,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_detellam_venkata_rao.jpg
Sri Tummala Nageswara Rao,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_tummala_nageshwara_rao.jpg
Sri Ponguleti Srinivasa Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_ponguleti_srinivasa_reddy.jpg
Sri Bhatti Vikramarka Mallu,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_bhatti_vikramarka_mallu.jpg
Sri Ramdas Maloth,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_ramdas_maloth.jpg
Smt. Matta Ragamayee,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/smt_matta_ragamayee.jpg
Smt. Chittem Parnika Reddy,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/smt_chittem_parnika_reddy.jpg
Sri Vakiti Srihari,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/sri_vakiti_srihari.jpg
Smt. Anasuya Seethakka Dansari,https://raw.githubusercontent.com/anilreddy488/MLA/main/photos/smtanasuya_seethakka_danasari.jpg
